crop_type,soil_type,climate,area_hectares,yield_per_hectare,approved
maize,loam,tropical,5.2,4.8,1
wheat,clay,temperate,8.5,3.2,1
rice,loam,tropical,6.8,5.5,1
cotton,sandy,arid,10.5,2.1,0
sorghum,clay,tropical,4.3,3.7,1
coffee,loam,tropical,3.2,2.8,1
tea,clay,temperate,7.5,4.2,1
sugarcane,loam,tropical,12.5,9.8,1
cassava,sandy,tropical,3.8,6.2,0
groundnuts,loam,tropical,2.5,1.8,0
beans,clay,temperate,1.8,1.4,0
soybeans,loam,temperate,9.2,2.8,1
tomatoes,sandy,mediterranean,1.2,15.5,1
potatoes,clay,temperate,3.4,12.2,1
oranges,loam,mediterranean,8.7,7.5,1
bananas,loam,tropical,4.5,14.2,1
avocados,loam,tropical,6.2,5.8,1
mango,sandy,tropical,7.8,9.2,1
pineapple,sandy,tropical,5.5,18.5,1
maize,clay,temperate,6.7,3.1,0
wheat,sandy,arid,11.2,1.5,0
rice,clay,temperate,9.3,2.7,0
cotton,loam,mediterranean,7.5,3.4,1
sorghum,sandy,arid,8.2,1.9,0
coffee,clay,temperate,2.1,1.2,0 